timestamp_ms,motor_state_0,motor_state_1,motor_state_2,motor_setpoint_0,motor_setpoint_1,motor_setpoint_2,error_0_k,error_0_k1,error_0_k2,error_1_k,error_1_k1,error_1_k2,error_2_k,error_2_k1,error_2_k2
69468.0,3.777477741241455,24.587661743164062,-19.71318244934082,1.1208994388580322,16.471338272094727,-17.577972412109375,-2.656578302383423,-2.737365245819092,-2.7471516132354736,-8.116323471069336,-8.188573837280273,-8.093149185180664,2.1352100372314453,2.2008399963378906,2.171152114868164
69469.0,3.7397029399871826,24.508380889892578,-19.58745002746582,1.0914100408554077,16.487506866455078,-17.564638137817383,-2.6482930183410645,-2.656578302383423,-2.737365245819092,-8.0208740234375,-8.116323471069336,-8.188573837280273,2.0228118896484375,2.1352100372314453,2.2008399963378906
69470.0,3.6309092044830322,24.691682815551758,-19.67716407775879,1.0619174242019653,16.503637313842773,-17.5512638092041,-2.5689916610717773,-2.6482930183410645,-2.656578302383423,-8.188045501708984,-8.0208740234375,-8.116323471069336,2.1259002685546875,2.0228118896484375,2.1352100372314453
69471.0,3.8563930988311768,24.730358123779297,-19.7183837890625,1.032423734664917,16.519733428955078,-17.53784942626953,-2.8239693641662598,-2.5689916610717773,-2.6482930183410645,-8.210624694824219,-8.188045501708984,-8.0208740234375,2.1805343627929688,2.1259002685546875,2.0228118896484375
69472.0,3.817829132080078,24.721046447753906,-19.592599868774414,1.0029264688491821,16.535791397094727,-17.524396896362305,-2.8149027824401855,-2.8239693641662598,-2.5689916610717773,-8.18525505065918,-8.210624694824219,-8.188045501708984,2.0682029724121094,2.1805343627929688,2.1259002685546875
69486.0,3.4715375900268555,26.719501495361328,-20.583003997802734,0.6488065719604492,16.72037696838379,-17.378454208374023,-2.8227310180664062,-2.8149027824401855,-2.8239693641662598,-9.999124526977539,-8.18525505065918,-8.210624694824219,3.204549789428711,2.0682029724121094,2.1805343627929688
69487.0,3.4715375900268555,26.719501495361328,-20.583003997802734,0.6488065719604492,16.72037696838379,-17.36454200744629,-2.8227310180664062,-2.8227310180664062,-2.8149027824401855,-9.999124526977539,-9.999124526977539,-8.18525505065918,3.2184619903564453,3.204549789428711,2.0682029724121094
69488.0,3.4715375900268555,26.719501495361328,-20.583003997802734,0.6192852258682251,16.730770111083984,-17.3505916595459,-2.85225248336792,-2.8227310180664062,-2.8227310180664062,-9.988731384277344,-9.999124526977539,-9.999124526977539,3.232412338256836,3.2184619903564453,3.204549789428711
69489.0,3.48442006111145,26.928295135498047,-20.49616813659668,0.5897630453109741,16.746326446533203,-17.33660316467285,-2.8946571350097656,-2.85225248336792,-2.8227310180664062,-10.181968688964844,-9.988731384277344,-9.999124526977539,3.159564971923828,3.232412338256836,3.2184619903564453
69490.0,3.449575901031494,26.920804977416992,-20.481599807739258,0.560239851474762,16.761852264404297,-17.322574615478516,-2.889336109161377,-2.8946571350097656,-2.85225248336792,-10.158952713012695,-10.181968688964844,-9.988731384277344,3.159025192260742,3.159564971923828,3.232412338256836
